年度,公司代號,公司名稱,員工人數,薪資中位數_仟元,平均薪資_仟元
109,3115,富榮綱,21.0,549.0,633.0
110,3115,富榮綱,5.0,622.0,602.0
111,3115,富榮綱,6.0,516.0,757.0
112,3115,富榮綱,8.0,530.0,702.0
113,3115,富榮綱,8.0,525.0,680.0
114,3115,富榮綱,8.0,590.0,536.0
107,3122,笙泉,63.0,,1023.0
108,3122,笙泉,59.0,961.0,1038.0
109,3122,笙泉,56.0,984.0,1027.0
110,3122,笙泉,54.0,1161.0,1259.0
111,3122,笙泉,59.0,1224.0,1324.0
112,3122,笙泉,61.0,1040.0,1133.0
113,3122,笙泉,62.0,1004.0,1096.0
114,3122,笙泉,60.0,1031.0,1136.0
107,3128,昇銳,185.0,,573.0
108,3128,昇銳,206.0,517.0,597.0
110,3128,昇銳,251.0,555.0,646.0
111,3128,昇銳,276.0,556.0,642.0
112,3128,昇銳,283.0,512.0,647.0
113,3128,昇銳,291.0,562.0,656.0
114,3128,昇銳,316.0,528.0,656.0
107,3131,弘塑,149.0,,1225.0
108,3131,弘塑,149.0,1202.0,1236.0
109,3131,弘塑,148.0,1309.0,1319.0
114,3131,弘塑,219.0,1831.0,2028.0
114,3135,凌航,58.0,647.0,990.0
107,3141,晶宏,124.0,,1059.0
108,3141,晶宏,118.0,1023.0,1052.0
109,3141,晶宏,118.0,1081.0,1128.0
110,3141,晶宏,119.0,1351.0,1420.0
111,3141,晶宏,129.0,1489.0,1657.0
112,3141,晶宏,137.0,1280.0,1373.0
113,3141,晶宏,141.0,1204.0,1268.0
114,3141,晶宏,143.0,1219.0,1337.0
107,3149,正達,640.0,,542.0
108,3149,正達,497.0,454.0,525.0
109,3149,正達,434.0,556.0,615.0
110,3149,正達,485.0,583.0,663.0
111,3149,正達,517.0,557.0,629.0
112,3149,正達,475.0,526.0,609.0
113,3149,正達,441.0,535.0,621.0
114,3149,正達,349.0,570.0,654.0
113,3150,鈺寶-創,46.0,1099.0,1270.0
114,3150,鈺寶-創,48.0,1212.0,1358.0
112,3168,眾福科,128.0,984.0,1095.0
113,3168,眾福科,118.0,1018.0,1225.0
114,3168,眾福科,130.0,947.0,1166.0
107,3169,亞信,52.0,,1257.0
108,3169,亞信,55.0,1019.0,1350.0
109,3169,亞信,57.0,1120.0,1406.0
110,3169,亞信,58.0,1627.0,2176.0
111,3169,亞信,61.0,1862.0,2451.0
112,3169,亞信,62.0,1392.0,1590.0
113,3169,亞信,64.0,1399.0,1591.0
114,3169,亞信,61.0,1404.0,1598.0
107,3178,公準,678.0,,505.0
108,3178,公準,649.0,472.0,529.0
109,3178,公準,691.0,465.0,532.0
110,3178,公準,699.0,484.0,559.0
111,3178,公準,729.0,529.0,605.0
112,3178,公準,754.0,512.0,589.0
113,3178,公準,701.0,514.0,575.0
114,3178,公準,688.0,520.0,586.0
107,3189,景碩,4684.0,,577.0
108,3189,景碩,4679.0,521.0,595.0
109,3189,景碩,4893.0,528.0,623.0
110,3189,景碩,5237.0,582.0,750.0
111,3189,景碩,5473.0,680.0,940.0
112,3189,景碩,5352.0,568.0,680.0
113,3189,景碩,5356.0,634.0,736.0
114,3189,景碩,6101.0,658.0,779.0
107,3191,雲嘉南,11.0,,376.0
108,3191,雲嘉南,17.0,371.0,584.0
109,3191,雲嘉南,14.0,420.0,490.0
110,3191,和進,3.0,567.0,566.0
111,3191,和進,4.0,581.0,513.0
112,3191,雲嘉南,4.0,598.0,556.0
113,3191,雲嘉南,5.0,596.0,594.0
114,3191,雲嘉南,6.0,592.0,572.0
110,3202,樺晟,53.0,569.0,652.0
111,3202,樺晟,62.0,552.0,629.0
112,3202,樺晟,85.0,615.0,699.0
107,3206,志豐,50.0,,879.0
108,3206,志豐,57.0,844.0,910.0
109,3206,志豐,57.0,851.0,926.0
110,3206,志豐,55.0,927.0,958.0
111,3206,志豐,54.0,1008.0,1048.0
112,3206,志豐,52.0,1058.0,1127.0
113,3206,志豐,47.0,1204.0,1215.0
114,3206,志豐,45.0,1079.0,1077.0
107,3207,耀勝,11.0,,613.0
108,3207,耀勝,10.0,534.0,595.0
109,3207,耀勝,10.0,550.0,576.0
110,3207,耀勝,14.0,571.0,712.0
111,3207,耀勝,18.0,832.0,949.0
112,3207,耀勝,23.0,850.0,844.0
113,3207,耀勝,46.0,562.0,605.0
114,3207,耀勝,69.0,479.0,536.0
107,3211,順達,109.0,,1227.0
108,3211,順達,132.0,1263.0,1389.0
109,3211,順達,161.0,1307.0,1410.0
110,3211,順達,205.0,1139.0,1250.0
111,3211,順達,224.0,1110.0,1160.0
112,3211,順達,202.0,1168.0,1252.0
113,3211,順達,201.0,1202.0,1292.0
114,3211,順達,232.0,1236.0,1329.0
107,3213,茂訊,290.0,,650.0
108,3213,茂訊,291.0,553.0,665.0
109,3213,茂訊,305.0,610.0,710.0
110,3213,茂訊,283.0,667.0,761.0
111,3213,茂訊,281.0,649.0,737.0
112,3213,茂訊,271.0,734.0,840.0
113,3213,茂訊,279.0,744.0,853.0
114,3213,茂訊,271.0,738.0,864.0
107,3217,優群,75.0,,939.0
108,3217,優群,86.0,891.0,983.0
109,3217,優群,98.0,959.0,1076.0
110,3217,優群,101.0,939.0,1173.0
111,3217,優群,102.0,904.0,1077.0
112,3217,優群,98.0,954.0,1151.0
113,3217,優群,102.0,1040.0,1281.0
114,3217,優群,111.0,1119.0,1336.0
107,3227,原相,406.0,,2398.0
108,3227,原相,402.0,2092.0,2319.0
109,3227,原相,426.0,2435.0,2799.0
110,3227,原相,474.0,2568.0,2915.0
111,3227,原相,505.0,2321.0,2522.0
112,3227,原相,530.0,2301.0,2500.0
113,3227,原相,561.0,2864.0,3029.0
114,3227,原相,587.0,2931.0,3044.0
107,3228,金麗科,75.0,,1214.0
108,3228,金麗科,74.0,1144.0,1344.0
109,3228,金麗科,60.0,1193.0,1412.0
110,3228,金麗科,58.0,1312.0,1615.0
111,3228,金麗科,57.0,1344.0,1742.0
112,3228,金麗科,67.0,1216.0,1603.0
113,3228,金麗科,71.0,1236.0,1612.0
114,3228,金麗科,82.0,1199.0,1556.0
107,3229,晟鈦,234.0,,474.0
108,3229,晟鈦,225.0,416.0,476.0
109,3229,晟鈦,210.0,401.0,453.0
110,3229,晟鈦,181.0,486.0,549.0
111,3229,晟鈦,148.0,481.0,551.0
112,3229,晟鈦,195.0,488.0,544.0
113,3229,晟鈦,209.0,534.0,565.0
114,3229,晟鈦,200.0,541.0,585.0
107,3230,錦明,24.0,,670.0
108,3230,錦明,26.0,658.0,638.0
110,3230,錦明,34.0,565.0,616.0
111,3230,錦明,50.0,594.0,667.0
112,3230,錦明,39.0,588.0,653.0
113,3230,錦明,44.0,494.0,681.0
114,3230,錦明,49.0,592.0,760.0
107,3231,緯創,6862.0,,1217.0
108,3231,緯創,7409.0,1114.0,1262.0
109,3231,緯創,8803.0,1085.0,1269.0
110,3231,緯創,9674.0,1101.0,1292.0
111,3231,緯創,10678.0,1107.0,1318.0
112,3231,緯創,10797.0,1196.0,1338.0
113,3231,緯創,11128.0,1253.0,1443.0
114,3231,緯創,13999.0,1197.0,1499.0
107,3236,千如,158.0,,698.0
108,3236,千如,162.0,504.0,584.0
109,3236,千如,162.0,526.0,639.0
110,3236,千如,175.0,571.0,685.0
111,3236,千如,208.0,587.0,767.0
112,3236,千如,202.0,522.0,623.0
113,3236,千如,189.0,514.0,631.0
114,3236,千如,175.0,503.0,641.0
107,3257,虹冠電,65.0,,1076.0
108,3257,虹冠電,65.0,855.0,1134.0
109,3257,虹冠電,67.0,1128.0,1280.0
110,3257,虹冠電,68.0,1196.0,1303.0
111,3257,虹冠電,64.0,942.0,1117.0
112,3257,虹冠電,60.0,1156.0,1379.0
113,3257,虹冠電,63.0,1029.0,1266.0
114,3257,虹冠電,60.0,1158.0,1491.0
107,3259,鑫創,132.0,,1084.0
108,3259,鑫創,139.0,952.0,1088.0
109,3259,鑫創,135.0,967.0,1122.0
110,3259,鑫創,120.0,964.0,1041.0
111,3259,鑫創,113.0,997.0,1064.0
112,3259,鑫創,106.0,1163.0,1200.0
113,3259,鑫創,91.0,1091.0,1162.0
114,3259,鑫創,96.0,1098.0,1162.0
107,3260,威剛,572.0,,1123.0
108,3260,威剛,601.0,961.0,1140.0
109,3260,威剛,590.0,1082.0,1361.0
110,3260,威剛,606.0,1138.0,1412.0
111,3260,威剛,619.0,1066.0,1298.0
112,3260,威剛,645.0,1086.0,1309.0
113,3260,威剛,636.0,1195.0,1880.0
114,3260,威剛,601.0,1459.0,1946.0
107,3264,欣銓,1360.0,,882.0
108,3264,欣銓,1373.0,677.0,811.0
109,3264,欣銓,1375.0,767.0,935.0
110,3264,欣銓,1423.0,836.0,1044.0
111,3264,欣銓,1503.0,944.0,1203.0
112,3264,欣銓,1647.0,862.0,1064.0
113,3264,欣銓,1604.0,781.0,984.0
114,3264,欣銓,1577.0,889.0,1116.0
107,3265,台星科,303.0,,766.0
108,3265,台星科,296.0,680.0,823.0
109,3265,台星科,293.0,660.0,773.0
110,3265,台星科,307.0,712.0,849.0
111,3265,台星科,335.0,768.0,972.0
112,3265,台星科,366.0,675.0,862.0
113,3265,台星科,367.0,687.0,892.0
114,3265,台星科,336.0,730.0,994.0
107,3268,海德威,34.0,,611.0
108,3268,海德威,29.0,552.0,592.0
109,3268,海德威,34.0,459.0,508.0
110,3268,海德威,32.0,625.0,731.0
111,3268,海德威,33.0,658.0,740.0
112,3268,海德威,33.0,621.0,644.0
113,3268,海德威,35.0,660.0,676.0
114,3268,海德威,34.0,653.0,672.0
107,3272,東碩,169.0,,868.0
108,3272,東碩,166.0,814.0,850.0
109,3272,東碩,212.0,734.0,804.0
110,3272,東碩,263.0,549.0,621.0
111,3272,東碩,300.0,607.0,752.0
112,3272,東碩,334.0,595.0,683.0
113,3272,東碩,316.0,631.0,721.0
114,3272,東碩,308.0,650.0,698.0
107,3276,宇環,122.0,,742.0
108,3276,宇環,5.0,991.0,917.0
109,3276,宇環,3.0,1124.0,1108.0
110,3276,宇環,3.0,1409.0,1389.0
111,3276,宇環,3.0,1029.0,1026.0
112,3276,宇環,3.0,1082.0,969.0
113,3276,宇環,3.0,777.0,765.0
114,3276,宇環,10.0,651.0,713.0
107,3287,廣寰科,23.0,,556.0
108,3287,廣寰科,16.0,511.0,564.0
109,3287,廣寰科,13.0,590.0,662.0
110,3287,廣寰科,10.0,543.0,689.0
111,3287,廣寰科,8.0,499.0,722.0
112,3287,廣寰科,7.0,589.0,662.0
113,3287,廣寰科,6.0,648.0,747.0
114,3287,廣寰科,16.0,612.0,726.0
107,3288,點晶,16.0,,751.0
108,3288,點晶,16.0,417.0,761.0
109,3288,點晶,14.0,545.0,792.0
110,3288,點晶,15.0,451.0,857.0
111,3288,點晶,13.0,439.0,841.0
112,3288,點晶,13.0,484.0,855.0
113,3288,點晶,13.0,502.0,1055.0
114,3288,點晶,16.0,597.0,911.0
107,3290,東浦,11.0,,879.0
108,3290,東浦,15.0,720.0,788.0
109,3290,東浦,31.0,550.0,671.0
110,3290,東浦,52.0,519.0,673.0
111,3290,東浦,72.0,480.0,617.0
112,3290,東浦,77.0,519.0,630.0
113,3290,東浦,78.0,552.0,652.0
114,3290,東浦,85.0,575.0,707.0
107,3294,英濟,195.0,,887.0
108,3294,英濟,204.0,786.0,903.0
109,3294,英濟,205.0,772.0,941.0
110,3294,英濟,273.0,702.0,882.0
111,3294,英濟,319.0,626.0,779.0
112,3294,英濟,306.0,669.0,810.0
113,3294,英濟,360.0,645.0,796.0
114,3294,英濟,293.0,786.0,961.0
107,3296,勝德,140.0,,706.0
108,3296,勝德,122.0,674.0,717.0
109,3296,勝德,120.0,657.0,714.0
110,3296,勝德,120.0,667.0,722.0
111,3296,勝德,109.0,655.0,693.0
112,3296,勝德,107.0,614.0,666.0
113,3296,勝德,100.0,596.0,686.0
114,3296,勝德,93.0,628.0,731.0
107,3297,杭特,164.0,,545.0
108,3297,杭特,152.0,469.0,544.0
110,3297,杭特,136.0,491.0,581.0
111,3297,杭特,133.0,489.0,588.0
112,3297,杭特,137.0,483.0,585.0
113,3297,杭特,135.0,523.0,620.0
114,3297,杭特,138.0,536.0,645.0
107,3308,聯德,45.0,,622.0
108,3308,聯德,34.0,510.0,619.0
109,3308,聯德,20.0,478.0,560.0
110,3308,聯德,23.0,643.0,639.0
111,3308,聯德,9.0,540.0,662.0
112,3308,聯德,12.0,3749.0,3581.0
113,3308,聯德,10.0,603.0,704.0
114,3308,聯德,10.0,684.0,699.0
107,3310,佳穎,85.0,,492.0
108,3310,佳穎,91.0,450.0,546.0
109,3310,佳穎,91.0,458.0,542.0
110,3310,佳穎,88.0,531.0,620.0
111,3310,佳穎,81.0,525.0,627.0
112,3310,佳穎,82.0,556.0,643.0
113,3310,佳穎,86.0,601.0,668.0
114,3310,佳穎,83.0,612.0,706.0
107,3317,尼克森,135.0,,1020.0
108,3317,尼克森,128.0,845.0,1100.0
109,3317,尼克森,127.0,910.0,1117.0
110,3317,尼克森,126.0,1084.0,1471.0
111,3317,尼克森,121.0,1215.0,1515.0
112,3317,尼克森,120.0,971.0,1171.0
113,3317,尼克森,119.0,982.0,1189.0
114,3317,尼克森,123.0,952.0,1115.0
107,3321,同泰,636.0,,487.0
108,3321,同泰,563.0,380.0,450.0
109,3321,同泰,508.0,445.0,502.0
110,3321,同泰,476.0,479.0,535.0
111,3321,同泰,461.0,458.0,514.0
112,3321,同泰,452.0,482.0,534.0
113,3321,同泰,455.0,551.0,594.0
114,3321,同泰,441.0,535.0,576.0
107,3322,建舜電,61.0,,905.0
108,3322,建舜電,57.0,772.0,828.0
109,3322,建舜電,55.0,775.0,892.0
110,3322,建舜電,57.0,860.0,977.0
111,3322,建舜電,54.0,746.0,917.0
112,3322,建舜電,59.0,755.0,964.0
113,3322,建舜電,62.0,761.0,921.0
114,3322,建舜電,70.0,655.0,842.0
107,3323,加百裕,228.0,,739.0
108,3323,加百裕,273.0,559.0,714.0
109,3323,加百裕,297.0,545.0,698.0
110,3323,加百裕,319.0,515.0,731.0
111,3323,加百裕,334.0,526.0,738.0
112,3323,加百裕,319.0,624.0,759.0
113,3323,加百裕,291.0,650.0,801.0
114,3323,加百裕,283.0,616.0,822.0
107,3325,旭品,26.0,,575.0
108,3325,旭品,28.0,481.0,538.0
109,3325,旭品,26.0,533.0,586.0
110,3325,旭品,27.0,755.0,815.0
111,3325,旭品,25.0,516.0,549.0
112,3325,旭品,24.0,507.0,547.0
113,3325,旭品,27.0,496.0,551.0
114,3325,旭品,28.0,537.0,603.0
107,3332,幸康,331.0,,532.0
108,3332,幸康,292.0,443.0,551.0
109,3332,幸康,265.0,531.0,628.0
110,3332,幸康,273.0,560.0,673.0
111,3332,幸康,266.0,703.0,805.0
112,3332,幸康,273.0,641.0,761.0
113,3332,幸康,273.0,642.0,722.0
114,3332,幸康,277.0,722.0,855.0
107,3338,泰碩,90.0,,834.0
108,3338,泰碩,70.0,885.0,951.0
109,3338,泰碩,82.0,736.0,811.0
110,3338,泰碩,75.0,783.0,866.0
111,3338,泰碩,71.0,728.0,816.0
112,3338,泰碩,66.0,797.0,903.0
113,3338,泰碩,66.0,909.0,1040.0
114,3338,泰碩,72.0,834.0,952.0
107,3339,泰谷,222.0,,453.0
108,3339,泰谷,192.0,414.0,488.0
110,3339,泰谷,202.0,461.0,541.0
111,3339,泰谷,173.0,423.0,497.0
112,3339,泰谷,135.0,467.0,557.0
113,3339,泰谷,151.0,508.0,597.0
114,3339,泰谷,149.0,501.0,594.0
110,3349,寶德,47.0,774.0,853.0
111,3349,寶德,47.0,792.0,875.0
112,3349,寶德,38.0,822.0,856.0
113,3349,寶德,39.0,829.0,830.0
114,3349,寶德,32.0,818.0,824.0
107,3354,律勝,63.0,,626.0
108,3354,律勝,60.0,521.0,624.0
109,3354,律勝,68.0,462.0,522.0
110,3354,律勝,64.0,471.0,592.0
111,3354,律勝,59.0,486.0,581.0
112,3354,律勝,61.0,530.0,654.0
113,3354,律勝,63.0,550.0,643.0
114,3354,律勝,57.0,569.0,683.0
107,3356,奇偶,219.0,,856.0
108,3356,奇偶,184.0,806.0,882.0
109,3356,奇偶,183.0,793.0,934.0
110,3356,奇偶,156.0,848.0,947.0
111,3356,奇偶,155.0,893.0,1006.0
112,3356,奇偶,145.0,894.0,980.0
113,3356,奇偶,146.0,936.0,997.0
114,3356,奇偶,141.0,975.0,1037.0
109,3357,臺慶科,389.0,647.0,746.0
110,3357,臺慶科,445.0,788.0,918.0
111,3357,臺慶科,508.0,663.0,798.0
112,3357,臺慶科,478.0,580.0,680.0
113,3357,臺慶科,463.0,683.0,793.0
114,3357,臺慶科,448.0,735.0,894.0
107,3362,先進光,478.0,,536.0
108,3362,先進光,521.0,455.0,514.0
110,3362,先進光,578.0,487.0,557.0
111,3362,先進光,612.0,513.0,575.0
112,3362,先進光,671.0,519.0,576.0
113,3362,先進光,754.0,537.0,587.0
114,3362,先進光,765.0,539.0,603.0
107,3372,典範,858.0,,429.0
108,3372,典範,658.0,434.0,495.0
109,3372,典範,526.0,469.0,535.0
110,3372,典範,492.0,595.0,690.0
111,3372,典範,430.0,517.0,604.0
112,3372,典範,335.0,585.0,636.0
113,3372,典範,368.0,581.0,641.0
114,3372,典範,382.0,615.0,681.0
107,3374,精材,1811.0,,686.0
108,3374,精材,1542.0,612.0,718.0
109,3374,精材,1536.0,669.0,903.0
110,3374,精材,1542.0,679.0,934.0
111,3374,精材,1435.0,736.0,1030.0
112,3374,精材,1413.0,694.0,923.0
113,3374,精材,1344.0,809.0,1080.0
114,3374,精材,1424.0,840.0,1076.0
107,3376,新日興,1589.0,,536.0
108,3376,新日興,1556.0,469.0,581.0
109,3376,新日興,1840.0,535.0,633.0
110,3376,新日興,2074.0,388.0,575.0
111,3376,新日興,1737.0,566.0,634.0
112,3376,新日興,1713.0,535.0,602.0
113,3376,新日興,1789.0,577.0,664.0
114,3376,新日興,1962.0,565.0,628.0
107,3388,崇越電,95.0,,1391.0
108,3388,崇越電,90.0,1113.0,1223.0
109,3388,崇越電,95.0,1201.0,1243.0
110,3388,崇越電,97.0,1318.0,1402.0
111,3388,崇越電,101.0,1336.0,1387.0
112,3388,崇越電,105.0,1195.0,1204.0
113,3388,崇越電,95.0,1326.0,1361.0
114,3388,崇越電,89.0,1402.0,1454.0
107,3390,旭軟,334.0,,479.0
108,3390,旭軟,291.0,389.0,440.0
109,3390,旭軟,285.0,420.0,468.0
110,3390,旭軟,290.0,464.0,512.0
111,3390,旭軟,284.0,488.0,556.0
112,3390,旭軟,286.0,477.0,542.0
113,3390,旭軟,299.0,512.0,577.0
114,3390,旭軟,294.0,519.0,570.0
107,3406,玉晶光,344.0,,756.0
108,3406,玉晶光,306.0,751.0,907.0
109,3406,玉晶光,412.0,809.0,974.0
110,3406,玉晶光,524.0,717.0,879.0
111,3406,玉晶光,877.0,708.0,889.0
112,3406,玉晶光,951.0,610.0,772.0
113,3406,玉晶光,819.0,666.0,862.0
114,3406,玉晶光,630.0,723.0,888.0
107,3413,京鼎,316.0,,1117.0
108,3413,京鼎,303.0,906.0,1090.0
109,3413,京鼎,299.0,1016.0,1204.0
110,3413,京鼎,257.0,1093.0,1249.0
111,3413,京鼎,278.0,1222.0,1512.0
112,3413,京鼎,292.0,1280.0,1370.0
113,3413,京鼎,348.0,1351.0,1518.0
114,3413,京鼎,410.0,1271.0,1513.0
107,3416,融程電,301.0,,666.0
108,3416,融程電,322.0,565.0,678.0
109,3416,融程電,322.0,599.0,727.0
110,3416,融程電,337.0,593.0,727.0
111,3416,融程電,321.0,690.0,829.0
112,3416,融程電,349.0,703.0,833.0
113,3416,融程電,392.0,737.0,853.0
114,3416,融程電,403.0,769.0,908.0
107,3432,台端,16.0,,819.0
108,3432,台端,11.0,648.0,721.0
109,3432,台端,10.0,622.0,753.0
110,3432,台端,8.0,651.0,822.0
111,3432,台端,8.0,708.0,753.0
112,3432,台端,8.0,630.0,726.0
113,3432,台端,10.0,634.0,775.0
114,3432,台端,20.0,647.0,729.0
107,3434,哲固,110.0,,564.0
108,3434,哲固,102.0,518.0,623.0
110,3434,哲固,104.0,562.0,628.0
111,3434,哲固,103.0,594.0,686.0
112,3434,哲固,104.0,543.0,642.0
113,3434,哲固,102.0,623.0,761.0
114,3434,哲固,105.0,621.0,724.0
107,3437,榮創,1319.0,,601.0
108,3437,榮創,1079.0,528.0,619.0
109,3437,榮創,987.0,570.0,648.0
110,3437,榮創,859.0,569.0,662.0
111,3437,榮創,810.0,576.0,660.0
112,3437,榮創,652.0,549.0,652.0
113,3437,榮創,673.0,562.0,680.0
114,3437,榮創,611.0,559.0,674.0
107,3438,類比科,122.0,,1169.0
108,3438,類比科,152.0,999.0,1193.0
109,3438,類比科,144.0,1204.0,1394.0
110,3438,類比科,136.0,1544.0,1747.0
111,3438,類比科,124.0,1494.0,1658.0
112,3438,類比科,122.0,1320.0,1471.0
113,3438,類比科,117.0,1547.0,1713.0
114,3438,類比科,116.0,1646.0,1798.0
107,3441,聯一光電,16.0,,493.0
108,3441,聯一光電,14.0,537.0,550.0
110,3441,聯一光電,16.0,577.0,582.0
111,3441,聯一光電,18.0,579.0,592.0
112,3441,聯一光電,17.0,580.0,589.0
113,3441,聯一光電,17.0,583.0,587.0
114,3441,聯一光電,16.0,585.0,600.0
107,3443,創意,513.0,,2201.0
108,3443,創意,565.0,1756.0,2125.0
109,3443,創意,601.0,1705.0,2036.0
110,3443,創意,644.0,1856.0,2237.0
111,3443,創意,646.0,2163.0,2706.0
112,3443,創意,669.0,2598.0,3134.0
113,3443,創意,668.0,2559.0,3160.0
114,3443,創意,674.0,2576.0,3180.0
107,3450,聯鈞,725.0,,631.0
108,3450,聯鈞,651.0,526.0,593.0
109,3450,聯鈞,641.0,582.0,644.0
110,3450,聯鈞,681.0,575.0,648.0
111,3450,聯鈞,593.0,529.0,619.0
112,3450,聯鈞,489.0,496.0,583.0
113,3450,聯鈞,485.0,627.0,852.0
114,3450,聯鈞,546.0,673.0,865.0
110,3454,晶睿,918.0,721.0,909.0
111,3454,晶睿,902.0,1014.0,1194.0
112,3454,晶睿,1087.0,953.0,1076.0
113,3454,晶睿,1022.0,1034.0,1144.0
107,3455,由田,319.0,,1127.0
108,3455,由田,349.0,903.0,1111.0
110,3455,由田,284.0,1013.0,1211.0
111,3455,由田,306.0,1056.0,1227.0
112,3455,由田,301.0,937.0,1091.0
113,3455,由田,290.0,976.0,1104.0
114,3455,由田,261.0,1151.0,1333.0
110,3465,進泰電子,20.0,900.0,1252.0
111,3465,進泰電子,19.0,678.0,844.0
113,3467,台灣精材,166.0,579.0,626.0
114,3467,台灣精材,182.0,560.0,605.0
107,3479,安勤,259.0,,912.0
108,3479,安勤,280.0,926.0,1120.0
109,3479,安勤,302.0,764.0,832.0
110,3479,安勤,286.0,856.0,955.0
111,3479,安勤,284.0,997.0,1160.0
112,3479,安勤,286.0,1026.0,1181.0
113,3479,安勤,304.0,979.0,1110.0
114,3479,安勤,324.0,1006.0,1148.0
107,3481,群創,30193.0,,764.0
108,3481,群創,28507.0,626.0,739.0
109,3481,群創,27011.0,675.0,893.0
110,3481,群創,26399.0,747.0,1122.0
111,3481,群創,25080.0,709.0,892.0
112,3481,群創,22830.0,724.0,897.0
113,3481,群創,20450.0,785.0,1008.0
114,3481,群創,17741.0,849.0,1047.0
107,3483,力致,149.0,,627.0
108,3483,力致,135.0,556.0,601.0
109,3483,力致,128.0,682.0,732.0
110,3483,力致,156.0,728.0,778.0
111,3483,力致,146.0,774.0,846.0
112,3483,力致,181.0,844.0,923.0
113,3483,力致,192.0,885.0,1031.0
114,3483,力致,213.0,844.0,1032.0
107,3484,崧騰,214.0,,765.0
108,3484,崧騰,220.0,702.0,831.0
109,3484,崧騰,194.0,762.0,886.0
110,3484,崧騰,190.0,927.0,1111.0
111,3484,崧騰,204.0,827.0,975.0
112,3484,崧騰,204.0,763.0,861.0
113,3484,崧騰,189.0,929.0,1046.0
114,3484,崧騰,212.0,878.0,977.0
107,3490,單井,112.0,,772.0
108,3490,單井,109.0,661.0,724.0
110,3490,單井,108.0,774.0,895.0
111,3490,單井,109.0,675.0,872.0
112,3490,單井,102.0,719.0,802.0
113,3490,單井,95.0,740.0,810.0
114,3490,單井,88.0,727.0,782.0
107,3492,長盛,41.0,,747.0
108,3492,長盛,42.0,772.0,780.0
109,3492,長盛,45.0,766.0,758.0
110,3492,長盛,42.0,776.0,811.0
111,3492,長盛,42.0,911.0,888.0
112,3492,長盛,41.0,854.0,883.0
113,3492,長盛,40.0,900.0,935.0
114,3492,長盛,42.0,985.0,997.0
107,3494,誠研,218.0,,689.0
108,3494,誠研,212.0,438.0,606.0
109,3494,誠研,219.0,497.0,524.0
110,3494,誠研,176.0,476.0,610.0
111,3494,誠研,168.0,424.0,617.0
112,3494,誠研,184.0,431.0,589.0
113,3494,誠研,177.0,453.0,603.0
114,3494,誠研,194.0,452.0,603.0
107,3501,維熹,248.0,,631.0
108,3501,維熹,288.0,410.0,528.0
109,3501,維熹,266.0,445.0,559.0
110,3501,維熹,260.0,475.0,564.0
111,3501,維熹,267.0,492.0,662.0
112,3501,維熹,250.0,404.0,557.0
113,3501,維熹,225.0,488.0,701.0
114,3501,維熹,244.0,578.0,686.0
107,3504,揚明光,819.0,,792.0
108,3504,揚明光,880.0,596.0,748.0
109,3504,揚明光,840.0,581.0,731.0
110,3504,揚明光,821.0,622.0,739.0
111,3504,揚明光,918.0,571.0,742.0
112,3504,揚明光,896.0,569.0,728.0
113,3504,揚明光,760.0,590.0,763.0
114,3504,揚明光,717.0,556.0,773.0
107,3511,矽瑪,76.0,,915.0
108,3511,矽瑪,58.0,635.0,645.0
109,3511,矽瑪,54.0,824.0,949.0
110,3511,矽瑪,49.0,851.0,881.0
111,3511,矽瑪,50.0,765.0,922.0
112,3511,矽瑪,59.0,898.0,1167.0
113,3511,矽瑪,55.0,859.0,1001.0
114,3511,矽瑪,52.0,824.0,956.0
107,3515,華擎,319.0,,1107.0
108,3515,華擎,298.0,1068.0,1157.0
109,3515,華擎,308.0,1519.0,1687.0
110,3515,華擎,294.0,1937.0,2277.0
111,3515,華擎,307.0,1358.0,1615.0
112,3515,華擎,302.0,1429.0,1624.0
113,3515,華擎,310.0,1527.0,1746.0
114,3515,華擎,316.0,1704.0,1945.0
107,3516,亞帝歐,85.0,,441.0
108,3516,亞帝歐,76.0,416.0,482.0
110,3516,亞帝歐,62.0,436.0,518.0
111,3516,亞帝歐,65.0,435.0,518.0
112,3516,亞帝歐,60.0,429.0,497.0
113,3516,亞帝歐,68.0,445.0,525.0
114,3516,亞帝歐,65.0,509.0,561.0
107,3520,華盈,17.0,,647.0
108,3520,華盈,16.0,443.0,578.0
109,3520,華盈,14.0,507.0,607.0
110,3520,華盈,18.0,586.0,672.0
111,3520,華盈,17.0,643.0,708.0
112,3520,華盈,16.0,687.0,774.0
113,3520,華盈,19.0,667.0,756.0
114,3520,華盈,24.0,724.0,799.0
110,3521,鴻翊,61.0,539.0,608.0
111,3521,鴻翊,57.0,585.0,665.0
112,3521,鴻翊,69.0,606.0,677.0
107,3523,迎輝,63.0,,563.0
108,3523,迎輝,57.0,548.0,589.0
110,3523,迎輝,89.0,535.0,581.0
111,3523,迎輝,76.0,555.0,594.0
112,3523,迎輝,79.0,573.0,612.0
113,3523,迎輝,75.0,545.0,605.0
114,3523,迎輝,60.0,538.0,581.0
107,3526,凡甲,76.0,,1155.0
108,3526,凡甲,75.0,1028.0,1223.0
109,3526,凡甲,75.0,1106.0,1329.0
110,3526,凡甲,78.0,1227.0,1394.0
111,3526,凡甲,73.0,1291.0,1455.0
112,3526,凡甲,72.0,1359.0,1475.0
113,3526,凡甲,69.0,1638.0,1865.0
